Parsing hochiminh.geojson...
Loaded 3056 traffic signal nodes.

Building KD-tree...
KD-tree built in 0.34 ms.

Nearest traffic light to (10.7725, 106.6981):
  ID:        10315805798
  Location:  (10.7715858, 106.6985321)
  Distance:  112.1 m
  Query time: 0.0048 ms

--- All Nodes ---
ID              Latitude      Longitude     
5795001641      10.7612428    106.6831897   
5797483243      10.5776227    107.0549375   
5798184319      11.0341015    106.6399402   
5798184358      11.0344007    106.6401700   
5800034834      10.7495451    106.6287727   
5800201890      11.0255898    106.6775814   
5800279230      10.7476585    106.6481798   
5802790398      10.9240988    106.7132219   
5802843301      11.0146863    106.6473502   
5802993761      10.7558631    106.6663430   
5806004711      10.7563126    106.6853238   
5806202945      10.9911618    106.6510343   
5806203157      10.9870566    106.6526477   
5813728968      10.7540155    106.6431409   
5816789870      10.9197178    106.8016657   
5816921541      10.7518418    106.6590663   
5890133159      10.7542138    106.6583721   
5963104802      10.7925768    106.7515758   
5963104803      10.7925884    106.7514373   
5963818535      10.7914522    106.7923566   
5963818537      10.7905020    106.7927717   
5963818543      10.7908956    106.7921806   
6116136066      10.7943050    106.6776300   
6116136070      10.7938430    106.6778765   
6116136071      10.7941425    106.6781133   
6372499824      10.7778539    106.6561296   
6540187139      10.4224061    107.1585142   
6620459863      10.8452159    106.7868908   
6622006736      10.8612518    106.6027571   
6622948515      10.7051983    106.7375904   
6631418475      10.7696869    106.6355541   
6636549497      10.7653622    106.6462485   
6637456775      10.7502073    106.6630914   
6637725833      10.7531923    106.6507531   
6639607757      10.7707931    106.6732547   
6669928083      10.7496481    106.6423525   
6702039664      10.8232170    106.6356951   
6702078186      10.8232085    106.6357665   
6702078216      10.8231278    106.6357374   
6711085280      10.7479498    106.5852394   
6711088479      10.7503437    106.6534001   
6711088480      10.7504598    106.6532257   
6711088482      10.7505410    106.6533527   
6711098539      10.7481128    106.5850664   
6711102491      10.7474184    106.6543532   
6711102492      10.7474935    106.6543840   
6711102493      10.7474248    106.6542056   
6711102494      10.7475537    106.6542837   
6711108090      10.7484312    106.5891657   
6711108092      10.7486424    106.5891905   
6711108094      10.7484908    106.5890087   
6711256321      10.7748948    106.6480446   
6711256324      10.7748283    106.6479462   
6711256325      10.7746680    106.6479977   
6711256328      10.7747437    106.6481026   
6712122415      10.7568849    106.6537983   
6712122416      10.7569798    106.6536294   
6712122419      10.7566834    106.6537236   
6712122420      10.7568261    106.6534875   
6712132390      10.7514939    106.6040402   
6712132391      10.7515772    106.6039285   
6712162839      10.7640849    106.6322775   
6712162840      10.7640868    106.6324673   
6712167228      10.7641324    106.6323168   
6712167229      10.7640325    106.6324030   
6712167321      10.7576316    106.6582521   
6712167322      10.7577996    106.6584186   
6712167323      10.7578768    106.6582801   
6712167324      10.7577331    106.6580764   
6712167325      10.7565340    106.6528151   
6712167326      10.7566614    106.6526838   
6712167327      10.7567855    106.6527954   
6712167328      10.7567128    106.6529347   
6712217663      10.7815283    106.6358052   
6712217668      10.7819276    106.6362529   
6712222432      10.7581139    106.6069038   
6712222433      10.7582417    106.6069051   
6712222434      10.7581394    106.6071299   
6712260032      10.7702906    106.6318923   
6712260035      10.7704069    106.6317563   
6712260037      10.7702697    106.6316994   
6712260045      10.7701688    106.6318298   
6712282259      10.7444318    106.6507399   
6712282263      10.7445117    106.6508915   
6712282266      10.7443248    106.6509566   
6712282270      10.7444304    106.6508899   
6712299501      10.7571385    106.6059971   
6712299502      10.7571541    106.6058792   
6712299503      10.7573794    106.6060430   
6712330195      10.7804957    106.6339835   
6712330198      10.7807038    106.6343587   
6712351033      10.7760400    106.6335910   
6712351034      10.7756887    106.6334661   
6712407503      10.7544681    106.6318508   
6712407504      10.7545648    106.6319989   
6712407507      10.7545463    106.6317423   
6712407508      10.7546225    106.6319217   
6712460403      10.7468913    106.6429544   
6712463251      10.7849764    106.6403114   
6712463252      10.7848542    106.6401413   
6712470948      10.7434536    106.6442933   
6712470949      10.7436201    106.6443681   
6712470958      10.7460180    106.6485552   
6712470959      10.7459326    106.6486858   
6712470960      10.7458117    106.6484732   
6712470961      10.7457793    106.6486110   
6712470964      10.7448374    106.6488129   
6712470965      10.7447869    106.6488853   
6712470966      10.7446686    106.6488494   
6712478839      10.7473712    106.6426018   
6712478841      10.7472089    106.6424875   
6712478842      10.7473800    106.6427585   
6712478843      10.7469260    106.6426521   
6712478845      10.7467597    106.6428533   
6712480398      10.7520439    106.6041208   
6712480399      10.7519726    106.6042833   
6712550997      10.7476751    106.6480308   
6712570978      10.7639771    106.6601302   
6712570980      10.7645653    106.6614323   
6712570983      10.7647586    106.6615994   
